"Prenom","Nom","Societe","Site","Departement","Service","fonction","Manager-Prenom","Manager-Nom","Nom de PC","Marque PC","Date de naissance","Telephone fixe","Telephone portable","Télétravail","Groupe_Departement","Groupe_Service","OU","SousOU"
"Régina","Illaconnesé","BillU","Paris","Communication et Relations publiques","Relation Médias","Chargée relation presse","Aurelien","Brunet","PA99009","DELL","16/11/1994  ","0155106945  ","0643567057  ","Non","GRP_CRP","","Communication-Relations-Publiques",""
"Charles","Marchand","BillU","Paris","Service Commercial","Service achat","Acheteur","Kylian","Martinez","PA16013","DELL","29/04/1999  ","0167218515  ","0654606027  ","Non","GRP_SC","GRP_SC_SA","Service-Commercial","Service-Achats"
"Kylian","Martinez","BillU","Paris","Service Commercial","Service achat","Responsable achat","Pierre","David","PA19149","DELL","26/08/1988  ","0151530426  ","0696228844  ","Non","GRP_SC","GRP_SC_SA","Service-Commercial","Service-Achats"
"Dylan","Marie","BillU","Paris","Service Commercial","Service achat","Acheteur","Kylian","Martinez","PA59874","DELL","30/03/1991  ","0113588016  ","0690730213  ","Non","GRP_SC","GRP_SC_SA","Service-Commercial","Service-Achats"
"Jules","Girard","BillU","Paris","Service Commercial","Service Client","Agent","Kylian","Martinez","PA39395","DELL","25/01/1985  ","0163132039  ","-","Non","GRP_SC","GRP_SC_SCL","Service-Commercial","Service-Clients"
"Julie","Francois","BillU","Paris","Service Commercial","Service Client","Agent","Kylian","Martinez","PA79817","DELL","23/09/1994  ","0420495759","-","Non","GRP_SC","GRP_SC_SCL","Service-Commercial","Service-Clients"
"Mael","Laurent","BillU","Paris","Finance et Comptabilité","Service Comptabilité","Comptable","Yacine","Hamad","PA30790","HP","14/08/1987  ","0157784039  ","-","Non","GRP_FC","GRP_FC_COM","Finance-Comptabilite","Comptabilite"
"Maxime","Lefebvre","BillU","Paris","Finance et Comptabilité","Service Comptabilité","Comptable","Yacine","Hamad","PA56314","DELL","26/05/2000  ","0107939301  ","-","Non","GRP_FC","GRP_FC_COM","Finance-Comptabilite","Comptabilite"
"Manon","Brun","BillU","Paris","Finance et Comptabilité","Service Comptabilité","Comptable","Yacine","Hamad","PA68447","LENOVO","11/06/1998  ","0460954183","-","Non","GRP_FC","GRP_FC_COM","Finance-Comptabilite","Comptabilite"
"Tom","Morel","BillU","Paris","DSI","Support","Hotliner","Anthony","Noel","PA32765","DELL","31/03/2001  ","0181640031  ","0666489658  ","Non","GRP_DSI","GRP_DSI_SUP","DSI","Support"
"Angéline","Lefaivre","BillU","Paris","Développement logiciel","Test et qualité","Développeur","Elena","Sánchez","PA21358","LENOVO","04/06/1999  ","-","-","Non","GRP_DEVL","GRP_DEVL_TQ","Developpement-Logiciel","Test-Qualite"
"Guido","Bianchi","BillU","Paris","Développement logiciel","Test et qualité","Développeur","Elena","Sánchez","PA27339","LENOVO","25/09/1983  ","-","-","Non","GRP_DEVL","GRP_DEVL_TQ","Developpement-Logiciel","Test-Qualite"
"Tariq","Aziz","BillU","Paris","Développement logiciel","Test et qualité","Développeur","Elena","Sánchez","PA31010","LENOVO","12/03/1989  ","-","-","Non","GRP_DEVL","GRP_DEVL_TQ","Developpement-Logiciel","Test-Qualite"
"Nina","Leroux","BillU","Paris","Développement logiciel","Test et qualité","Développeur","Elena","Sánchez","PA31356","LENOVO","21/04/1998  ","-","-","Non","GRP_DEVL","GRP_DEVL_TQ","Developpement-Logiciel","Test-Qualite"
"Anaïs","Moreau","BillU","Paris","Développement logiciel","Test et qualité","Développeur","Elena","Sánchez","PA31784","TOSHIBA","11/04/1987  ","-","-","Non","GRP_DEVL","GRP_DEVL_TQ","Developpement-Logiciel","Test-Qualite"
"Camille","Blanchet","BillU","Paris","Développement logiciel","Test et qualité","Développeur","Elena","Sánchez","PA46875","LENOVO","07/06/2000  ","-","-","Non","GRP_DEVL","GRP_DEVL_TQ","Developpement-Logiciel","Test-Qualite"
"Laura","Meunier","BillU","Paris","Développement logiciel","Test et qualité","Développeur","Elena","Sánchez","PA46875","HP","30/04/2001  ","-","-","Non","GRP_DEVL","GRP_DEVL_TQ","Developpement-Logiciel","Test-Qualite"
"Maximilian","Wagner","BillU","Paris","Développement logiciel","Test et qualité","Développeur","Elena","Sánchez","PA53201","HP","29/11/1984  ","-","-","Non","GRP_DEVL","GRP_DEVL_TQ","Developpement-Logiciel","Test-Qualite"
"Marie","Dufour","BillU","Paris","Développement logiciel","Test et qualité","Développeur","Elena","Sánchez","PA72687","LENOVO","22/05/2000  ","-","-","Non","GRP_DEVL","GRP_DEVL_TQ","Developpement-Logiciel","Test-Qualite"
"Olivier","Leroy","BillU","Paris","Développement logiciel","Test et qualité","Développeur","Elena","Sánchez","PA78411","HP","20/03/1989  ","-","-","Non","GRP_DEVL","GRP_DEVL_TQ","Developpement-Logiciel","Test-Qualite"
"Eva","Simon","BillU","Paris","Développement logiciel","Test et qualité","Développeur","Elena","Sánchez","PA81191","LENOVO","20/01/1994  ","-","-","Non","GRP_DEVL","GRP_DEVL_TQ","Developpement-Logiciel","Test-Qualite"
"Elena","Sánchez","BillU","Paris","Développement logiciel","Test et qualité","Responsable test et qualité","Sofia","Rossi","PA83940","LENOVO","23/12/1986  ","0107161739  ","0628631838  ","Non","GRP_DEVL","GRP_DEVL_TQ","Developpement-Logiciel","Test-Qualite"
"Léo","Dubois","BillU","Paris","Développement logiciel","Test et qualité","Développeur","Elena","Sánchez","PA84928","LENOVO","07/12/1997  ","-","-","Non","GRP_DEVL","GRP_DEVL_TQ","Developpement-Logiciel","Test-Qualite"
"Gaelle","Colin","BillU","Paris","Communication et Relations publiques","","Responsable communication","Noémie","Leloir","PA23669","DELL","23/06/1999  ","0146389837  ","0625101497  ","Non","GRP_CRP","NA","Communication-Relations-Publiques","NA"
"Noémie","Leloir","BillU","Paris","Communication et Relations publiques","","Directrice Communication et Relations publiques","Camille","Martin","PA68385","DELL","14/11/1994  ","0165300831  ","0628752957  ","Non","GRP_CRP","NA","Communication-Relations-Publiques","NA"
"Aurelien","Brunet","BillU","Paris","Communication et Relations publiques","","Responsable relation média","Noémie","Leloir","PA68867","DELL","12/03/1985  ","0114409115  ","0778858220  ","Non","GRP_CRP","NA","Communication-Relations-Publiques","NA"
"Fauve","Hôlth","BillU","Paris","Département Juridique","","Directeur juridique","Camille","Martin","PA87056","LENOVO","08/01/1988","0169521011","0757881221","Non","GRP_DJ","NA","Departement-Juridique","NA"
"Sofia","Rossi","BillU","Paris","Développement logiciel","","Directeur Développement logiciel","Camille","Martin","PA93655","TOSHIBA","21/09/1998  ","0185544131  ","0730413931  ","Non","GRP_DEVL","NA","Developpement-Logiciel","NA"
"Camille","Martin","BillU","Paris","Direction","","CEO","-","","PA12959","TOSHIBA","09/05/1985  ","0160409379  ","0653791741  ","Non","GRP_DIR","NA","Direction","NA"
"Antoine","Dubois","BillU","Paris","Direction","","Assistant de direction","Camille","Martin","PA75792","TOSHIBA","12/12/1998  ","0112092812  ","0757172438  ","Non","GRP_DIR","NA","Direction","NA"
"Alexis","Bernard","BillU","Paris","Direction","","Directeur adjoint","Camille","Martin","PA89346","DELL","11/04/1991  ","0187246457  ","0738812832  ","Non","GRP_DIR","NA","Direction","NA"
"Anthony","Noel","BillU","Paris","DSI","","Directeur des systèmes d'information","Camille","Martin","PA85785","DELL","31/10/1990  ","0174752256  ","0663073894  ","Non","GRP_DSI","NA","DSI","NA"
"Pierre","David","BillU","Paris","Service Commercial","","Directeur commercial","Camille","Martin","PA90233","TOSHIBA","12/05/1997","0106664984  ","0734442721  ","Non","GRP_SC","NA","Service-Commercial","NA"
"Christophe","Leroux","BillU","Paris","Service recrutement","","Responsable recrutement","Camille","Martin","PA20618","HP","10/05/1992  ","0163902409  ","0784105738  ","Non","GRP_RECR","NA","Recrutement","NA"
"Mélanie","Carpentier","BillU","Paris","Service recrutement","","Agent RH","Christophe","Leroux","PA31784","HP","09/08/1983  ","0183765728  ","-","Non","GRP_RECR","NA","Recrutement","NA"
"Célia","Da Silva","BillU","Paris","Service recrutement","","Agent RH","Christophe","Leroux","PA66766","HP","31/07/1986  ","0498537902","-","Non","GRP_RECR","NA","Recrutement","NA"
